,game_play_id,pickoff_successful,pickoff_time,runner_max_distance,runner_max_x,runner_max_y,fielder_distance,fielder_max_x,fielder_max_y
0,1901_01_TeamLG_TeamA3_64,1.0,700.0,9.513134648999772,57.1473,70.593,4.462265550143785,59.3874,62.2866
1,1901_01_TeamLG_TeamA3_156,1.0,500.0,10.716915859518537,56.3919,71.5341,4.810773444052422,59.9973,60.4968
2,1901_02_TeamLG_TeamA3_131,1.0,1200.0,10.423666606813557,55.7328,70.4319,4.513885786104917,59.1336,63.3729
3,1901_02_TeamLG_TeamA3_133,0.0,1050.0,12.54270103327031,54.2607,71.9676,3.7146338352521386,59.9253,63.6894
4,1901_02_TeamLG_TeamA3_146,1.0,900.0,10.928181483211198,57.1359,72.4218,4.2038589700416935,59.5056,62.8764
5,1901_02_TeamLG_TeamA3_171,0.0,1100.0,12.149446717032019,55.2789,72.4548,3.2336981074305653,60.4809,62.9472
6,1901_02_TeamLG_TeamA3_208,1.0,850.0,2.9798287215878676,62.0685,66.1716,2.7794880194021383,60.9357,62.9958
7,1901_03_TeamLG_TeamA3_11,0.0,750.0,12.564821520419615,56.0268,73.6356,3.9609192114962397,59.8194,62.5932
8,1901_03_TeamLG_TeamA3_57,1.0,800.0,10.224955245867823,56.8179,71.2563,3.5535911765423998,60.0996,63.3291
9,1901_05_TeamLI_TeamA3_6,0.0,850.0,12.080385967757822,56.7099,73.5348,3.2780177989144628,60.3741,63.3534
10,1901_05_TeamLI_TeamA3_8,0.0,700.0,12.523682129469753,56.9088,74.2008,3.5002786017687266,60.5973,61.9086
11,1901_05_TeamLI_TeamA3_30,0.0,650.0,11.49677634904672,55.1067,71.3445,3.7883999049730757,60.4146,61.6518
12,1901_05_TeamLI_TeamA3_32,0.0,550.0,12.129927883132698,55.0539,72.2082,3.9205085613986395,59.8683,62.5683
13,1901_05_TeamLI_TeamA3_33,0.0,650.0,10.842725242760697,55.6281,70.9458,3.6181149484227304,60.0903,62.9373
14,1901_07_TeamLK_TeamB_170,0.0,650.0,7.962583435669612,57.9687,69.2292,3.3121153376656425,60.3372,63.3861
15,1901_07_TeamLK_TeamB_174,1.0,600.0,10.15933109855172,56.3067,70.671,3.5039442375700016,60.7605,61.6425
16,1901_07_TeamLK_TeamB_177,1.0,550.0,11.825814933863969,55.7559,72.4542,3.857713449700484,59.8305,64.2501
